기업명,CSR Hub ID,기부금 순위,제안 우선도,회사 간단 소개,업종,법인유형,소재지,직원수(2025),"매출액(2025, 억원)",2022 기부금(백만원),2023 기부금(백만원),2024 기부금(백만원),2025 기부금(백만원),"2026 기부금(백만원, 7/1 기준)",22~25 연평균(백만원),"22~26 단순평균(백만원, 26 부분)",기준 충족 연도 수(22~25),주요 사업 분야,주요 공개사업(최대 3개),공개 주요사업 수,교육 연관사업 수,교육사업 비중,KMA 연관 분야,주요 교육사업(최대 3개),KMA와의 접점,사업정보 참고,홈페이지,지속가능보고서,CSR Hub 상세 URL,연락처 및 접근 경로
,,,아래에 등급 설명,,,,,,,,,,,,,,,"어떤 대상과 주제에 지속적으로 투자해왔는가, 근거 파악
기업마다 연락 이유가 구체적으로 달라져야 함. 참고할 수 있는 부분임",,,,,"실제 연락 시에는 기업당 한 가지 핵심 운영 문제로 좁히는 게 효과적임.
실제로 기업이 필요로 할 수 있는 운영 기능으로 번역해야 함 
예) AI 교육 가능->전국 단위 AI 교육의 강사 표준화와 학습성 관리",,,"누구에게 어떤 방식으로 연락할 것인가?
연락을 할지 공고나 모집을 기다릴지, 연락은 재단/부서/본사 어디로 할지 참고할 수 있음.
예를 들어 현대자동차·기아·현대모비스에 동일 사업이 표시된다면 세 기업에 같은 제안서를 각각 보내기보다, 현대차그룹의 사회공헌 구조와 실제 사업 주관 법인을 먼저 확인하는 게 효율적",,,,"공개된 공식 연락처만 기재. 우선순위: 사회공헌·재단·제휴 → 공식 문의 → 대표전화. 2차 선별 기업 132개를 우선 심층 조사했으며, 공개 직통 담당자가 없으면 연결 요청 경로를 표시함. 개인 연락처는 추정하지 않음."
애경산업,457,1,D,"치약, 비누 및 기타 세제 제조업 기업, 유가증권시장, 서울특별시 마포구 소재, 2025년 매출 약 6,545억원, 직원 943명.","치약, 비누 및 기타 세제 제조업",유가증권시장,서울특별시 마포구 양화로 188 -,943,"6,545.30","22,793.70","19,826.10","26,099.00","29,459.90",0,"24,544.60","19,635.70",4,공개 주요사업 없음,,0,0,,,,현재 공개 주요사업에서는 직접적인 교육 접점이 확인되지 않음. 신규 교육형 사회공헌사업 제안 가능,개별 귀속 여부는 원문 기준,http://www.aekyung.co.kr/,https://www.aekyung.co.kr/esg_report,https://csrhub.chest.or.kr/contributors/private/457,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.aekyung.co.kr/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
신한은행,210,2,A,"국내은행 기업, 기타법인, 서울특별시 중구 소재, 직원 12,781명.",국내은행,기타법인,"서울특별시 중구 세종대로9길 20 (태평로2가, 신한은행 본점)","12,781",,"7,121.00","17,822.80","27,565.70","30,464.80",212.1,"20,743.60","16,637.30",4,교육자립지원(12) / 기초생계지원(5) / 주거안전지원(3),맞벌이가정 자녀 돌봄공백 해소를 위한 공동육아나눔터 공간 조성 지원 ‘신한 꿈도담터’ / 위기가정 재기지원사업(7차년도) / 아동학대 응급(보호)조치 아동 보호 및 가정복귀 지원사업 '신한-SOL Guard(4차)',28,12,42.90%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,재생PC를 활용한 경로당 어르신 정보화 및 금융교육 / 해외 사회문제 해결을 위한 '글로벌 원신한' / 학교 밖 청소년의 직업탐색을 위한 뮤지컬 교육 및 공연,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",개별 귀속 여부는 원문 기준,http://www.shinhan.com/,https://www.shinhan.com/hpe/index.jsp#300407010000,https://csrhub.chest.or.kr/contributors/private/210,우선: 신한금융희망재단(교육·사회문제 해결) 이메일 shdf@shinhan.com / https://shf.neocoms.co.kr/ | 접근: 재단 메일로 제안서 발송 후 해당 계열사 ESG·사회공헌 담당 연결 요청 | 기업 홈페이지: http://www.shinhan.com/
SK하이닉스,8,3,A,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업 기업, 유가증권시장, 경기도 이천시 소재, 2025년 매출 약 97.1조원, 직원 34,549명.","다이오드, 트랜지스터 및 유사 반도체 소자 제조업",유가증권시장,경기도 이천시 부발읍 경충대로 2091,"34,549","971,466.80","11,512.40","28,273.60","13,319.50","18,309.00","1,460.80","17,853.60","14,575.10",4,교육자립지원(5) / 사회적돌봄강화(5) / 기초생계지원(4),ESG 환경개선 청주 도심 내 도시 숲 조성사업 / 2024 ESG 환경개선 ‘청주지역 화물차 무시동 장비지원사업’ / 미래세대 인재 양성을 위한 아동·청소년 소프트웨어 교육 사업 : 하인슈타인,21,9,42.90%,교육격차·취약계층 / 디지털·AI 교육 / 시니어·중장년 교육 / 일반 교육·역량강화 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,미래세대 인재 양성을 위한 아동·청소년 소프트웨어 교육 사업 : 하인슈타인 / 2024년 독거노인 정서·생활·안전 AI스피커 지원사업「실버프렌드」7기 / 장애청소년 행복 AI 코딩 챌린지 대회 배분신청서,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영 / 청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리",개별 귀속 여부는 원문 기준,http://www.skhynix.com/,https://www.skhynix.com/sustainability/UI-FR-SA01/,https://csrhub.chest.or.kr/contributors/private/8,우선: 행복나눔재단 02-333-3963 / https://skhappiness.org/contact/ | 접근: 교육·사회혁신 제안은 재단 문의 후 실제 사업 귀속 계열사 담당 연결 요청 | 기업 홈페이지: http://www.skhynix.com/
현대자동차,2,4,A,"승용차 및 기타 여객용 자동차 제조업 기업, 유가증권시장, 서울특별시 서초구 소재, 2025년 매출 약 186.3조원, 직원 72,598명.",승용차 및 기타 여객용 자동차 제조업,유가증권시장,서울특별시 서초구 헌릉로 12,"72,598","1,862,544.70","12,485.80","17,289.60","17,067.20","16,167.20",477.8,"15,752.40","12,697.50",4,주거안전지원(16) / 교육자립지원(13) / 보건의료지원(6),아동학대 예방 및 아동보호체계 강화를 위한 통합지원 사업 현대자동차그룹 'i-CARE(아이케어)'- 2차년도 / 전국 사회복지기관 친환경 EV패키지 지원사업 ‘E-share’ / 지역사회복지기관 지원을 통한 사회복지 서비스 역량 강화：지역사회복지 지원사업,50,22,44.00%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,지역사회복지기관 지원을 통한 사회복지 서비스 역량 강화：지역사회복지 지원사업 / 취약계층 청소년 및 대학생 인재의 교육기회 불평등 해소를 위한 학습지도 및 멘토링 지원 사업 : H-점프스쿨 / 고령자 교통안전을 위한 교육 및 인식개선 사업 「2024년 교통안전 베테랑 교실」,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",동일한 공개 사업 목록이 18개 기업에 공통 표시됨(그룹 사업 가능성),http://www.hyundai.com/,https://www.hyundai.com/kr/ko/sustain-manage/manage-system/sustainability-report,https://csrhub.chest.or.kr/contributors/private/2,"우선: 현대차정몽구재단 02-746-0001 / https://www.hyundai-cmkfoundation.org/ | 보조: 현대자동차 공식 1:1 문의 https://www.hyundai.com/kr/ko/digital-customer-support/helpdesk/ask | 접근: 그룹 공동교육이면 재단, 계열사 단독사업이면 해당사 ESG 담당 연결 요청 | 기업 홈페이지: http://www.hyundai.com/"
삼성전자,1,5,A,"통신 및 방송장비 제조업 기업, 유가증권시장, 경기도 수원시 소재, 2025년 매출 약 333.6조원, 직원 257,762명.",통신 및 방송장비 제조업,유가증권시장,경기도 수원시 영통구 삼성로 129 (매탄동),"257,762","3,336,059.40","22,793.10","11,382.20","11,933.90","14,666.50",37.8,"15,193.90","12,162.70",4,교육자립지원(6) / 심리정서지원(3) / 보건의료지원(2),미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 취약계층 건강 증진을 위한 의료비 지원 사업 '희망진료센터' / 명절맞이 취약계층 및 사회복지시설 물품지원 사업,14,8,57.10%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 시니어 디지털 역량 강화 및 활용을 위한 「삼성 시니어 디지털 아카데미」 / 삼성전자와 함께하는 자립준비청년 취업지원사업 ‘희망디딤돌 2.0’,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",동일한 공개 사업 목록이 20개 기업에 공통 표시됨(그룹 사업 가능성),http://www.samsung.com/sec,https://www.samsung.com/sec/sustainability/main/,https://csrhub.chest.or.kr/contributors/private/1,기본: 삼성전자 대표 02-2255-0114 | 우선: 삼성 CSR https://csr.samsung.com/ko/ | 접근: 대표전화에서 사회공헌/CSR 담당 연결 요청 | 기업 홈페이지: http://www.samsung.com/sec
LG생활건강,74,6,A,"치약, 비누 및 기타 세제 제조업 기업, 유가증권시장, 서울특별시 중구 소재, 2025년 매출 약 6.4조원, 직원 4,013명.","치약, 비누 및 기타 세제 제조업",유가증권시장,서울특별시 중구 후암로 98 LG서울역빌딩,"4,013","63,554.90","20,222.60","11,671.40","10,134.60","15,007.40",0.1,"14,259.00","11,407.20",4,주거안전지원(5) / 교육자립지원(3) / 보건의료지원(2),"아동 대상 올바른 위생습관 형성을 위한 찾아가는 공연, 어린이 건강뮤지컬 <반짝반짝 페리오> / LG생활건강과 함께 가꾸는 도심 생태 공원 / 시각장애인의 안전한 소비생활을 위한 생활용품 점자스티커 제작 및 배포",12,3,25.00%,교육격차·취약계층 / 청소년·청년 교육,"시각장애인의 안전한 소비생활을 위한 생활용품 점자스티커 제작 및 배포 / 아동 대상 올바른 위생습관 형성을 위한 찾아가는 공연, 어린이 건강뮤지컬 <반짝반짝 페 / 시각장애인의 안전한 소비생활을 위한 생활용품 점자스티커 제작 및 배포사업","청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",개별 귀속 여부는 원문 기준,http://www.lghnh.com/,https://www.lghnh.com/manage/index.jsp,https://csrhub.chest.or.kr/contributors/private/74,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.lghnh.com/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
우리은행,237,7,A,"국내은행 기업, 기타법인, 서울특별시 중구 소재, 직원 14,203명.",국내은행,기타법인,서울특별시 중구 소공로 51,"14,203",,"8,120.10","8,244.00","13,370.30","17,194.10",6,"11,732.10","9,386.90",4,교육자립지원(1) / 보건의료지원(1),저소득 중·고등학생 대상 재능개발 미래지원사업 「우리 꿈.꾸.당(堂)」 / 플랫폼·프리랜서 종사자 건강 증진 사업,2,1,50.00%,교육격차·취약계층 / 청소년·청년 교육,저소득 중·고등학생 대상 재능개발 미래지원사업 「우리 꿈.꾸.당(堂)」,"청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",개별 귀속 여부는 원문 기준,http://www.wooribank.com/,https://spot.wooribank.com/pot/Dream?withyou=BPPCT0059,https://csrhub.chest.or.kr/contributors/private/237,우선: 우리금융미래재단 02-2125-2145 / https://www.woorifuturefoundation.or.kr/company/contactus | 접근: 교육·격차해소 제안은 재단 문의 후 해당 계열사 담당 연결 요청 | 기업 홈페이지: http://www.wooribank.com/
하나은행,225,8,A,"국내은행 기업, 기타법인, 서울특별시 중구 소재, 직원 11,837명.",국내은행,기타법인,"서울특별시 중구 을지로 35 (을지로1가, 하나은행)","11,837",,"9,764.60","10,159.60","11,073.10","14,008.00",98,"11,251.30","9,020.70",4,교육자립지원(8) / 기초생계지원(6) / 문화정보격차해소(4),자립·자활을 위한 자산형성지원사업 / K리그 통합축구활성화 및 친환경리그 지원사업 / 해외청소년 한국어 교육 연수지원사업,22,9,40.90%,교육격차·취약계층 / 멘토링·학습관리 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,해외청소년 한국어 교육 연수지원사업 / 소외계층 청년세대를 위한 복합문화공간 지원사업 : HANA SHARING / 지역아동센터 아동/청소년의 미래를 위한 환경교육지원사업,"멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영",동일한 공개 사업 목록이 14개 기업에 공통 표시됨(그룹 사업 가능성),http://www.kebhana.com/,https://hanafn.com/esg/reporting/reprt.do,https://csrhub.chest.or.kr/contributors/private/225,"우선: 하나금융나눔재단 사업신청·문의 https://hana-nanum.com/?p=43&page=3&viewMode=add | 신청 안내 02-728-4092~5 / 재단 02-729-8934~7 | 접근: 기관회원 가입 후 사업신청, 전화는 접수 절차 확인용 | 기업 홈페이지: http://www.kebhana.com/"
국민은행,203,9,A,"국내은행 기업, 기타법인, 서울특별시 영등포구 소재.",국내은행,기타법인,서울특별시 영등포구 국제금융로8길 26 국민은행,,,"6,403.10","6,060.00","15,195.50","12,455.30","12,279.90","10,028.50","10,478.80",4,교육자립지원(9) / 기초생계지원(4) / 주거안전지원(3),"전국 취약계층 아동의 교육 격차 해소를 위한 스마트학습지원사업 『KB Dream Wave 2030』라스쿨(미취학, 초등) / 2024 KB국민은행_부스러기사랑나눔회_취약계층 청소년(중고등)장학금 지원 / 미취업 청년들의 S/W 교육기회 확대 지원사업",21,11,52.40%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,"전국 취약계층 아동의 교육 격차 해소를 위한 스마트학습지원사업 『KB Dream Wave 2030』라스쿨(미취학, 초등) / 2024 KB국민은행_부스러기사랑나눔회_취약계층 청소년(중고등)장학금 지원 / 미취업 청년들의 S/W 교육기회 확대 지원사업","AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리",개별 귀속 여부는 원문 기준,http://www.kbstar.com/,https://www.kbfg.com/kor/esg/report/sustainability/list.jsp,https://csrhub.chest.or.kr/contributors/private/203,우선: KB금융공익재단 02-755-2242~3 / 02-2073-5773 / https://kbfoundation.or.kr/introduce/map.do | 접근: 교육·금융교육·자립지원 제안은 재단 문의 후 계열사 연결 요청 | 기업 홈페이지: http://www.kbstar.com/
